ticker,start_equity,end_equity,num_years,total_plpc,avg_plpc,avg_vol
ALE,100000.0,83021.2511,17.0,-16.9787,-0.9987,14330.5116
SVRE,100000.0,93917.2168,1.0,-6.0828,-6.0828,35304.8188
TPC,100000.0,71041.7234,14.0,-28.9583,-2.0684,22017.3495
FERG,100000.0,95503.2027,2.0,-4.4968,-2.2484,33943.2364
TLRY,100000.0,159805.6245,5.0,59.8056,11.9611,533610.5536
DYNT,100000.0,171007.1197,16.0,71.0071,4.4379,3334.2923
CABO,100000.0,124856.1481,8.0,24.8561,3.1070,1848.5662
NNVC,100000.0,87595.9516,16.0,-12.4040,-0.7753,14694.7824
XBIO,100000.0,101731.7983,7.0,1.7318,0.2474,5041.9237
DRTS,100000.0,110192.0127,1.0,10.1920,10.1920,8487.9067
TRP,100000.0,67081.3616,17.0,-32.9186,-1.9364,64160.8791
BKE,100000.0,89829.4195,16.0,-10.1706,-0.6357,31963.8231
TRTX,100000.0,134567.3981,6.0,34.5674,5.7612,24479.2493
ANVS,100000.0,149292.2460,4.0,49.2922,12.3231,14811.2069
C.K,100000.0,131979.7128,16.0,31.9797,1.9987,293337.5430
SASR,100000.0,143975.0104,16.0,43.9750,2.7484,6208.0819
BBAR,100000.0,143159.8384,16.0,43.1598,2.6975,24205.9385
PHM,100000.0,162307.8928,19.0,62.3079,3.2794,335531.9780
CASY,100000.0,255566.7241,17.0,155.5667,9.1510,21806.0793
SQFT,100000.0,106979.8077,3.0,6.9798,2.3266,10963.1496
GBBK,100000.0,100339.8938,1.0,0.3399,0.3399,19860.2853
DSGN,100000.0,109715.0703,2.0,9.7151,4.8575,18951.5755
OXSQ,100000.0,113871.0490,9.0,13.8710,1.5412,18336.5684
PAA,100000.0,74077.2658,17.0,-25.9227,-1.5249,144910.6432
ENB,100000.0,84680.0153,16.0,-15.3200,-0.9575,128950.1362
CXAI,100000.0,98626.7155,3.0,-1.3733,-0.4578,73812.4424
EHTH,100000.0,288764.9377,17.0,188.7649,11.1038,20843.1228
BEDU,100000.0,88568.3220,6.0,-11.4317,-1.9053,2295.7950
GROW,100000.0,99242.7984,16.0,-0.7572,-0.0473,9619.1051
EVRI,100000.0,123818.6531,16.0,23.8187,1.4887,46541.6748
BWEN,100000.0,316159.6570,15.0,216.1597,14.4106,10291.2682
